model,designer,builder,rig_type,loa,lwl,beam,draft,displacement,displacement,notes,i,mizzen_i,j,mizzen_j,p,mizzen_p,e,mizzen_e,mast_height,mizzen_mast_height,bury,bury_mizzen,mh_frac,DK_or_KL,DK_or_KL_mizzen,No_of_spreaders,no_of_spreaders_mizzen,spreader_angle,spreader_angle_mizzen,mast_section,mast_section_mizzen,boom_section,boom_section_mizzen,spin_pole_diameter,telescopic_pole_diameter,rodkicker,headsail furler,JOCKEY_P,forestay_wire_size,mizzen_forestay_wire_size,mizzen_backstay_wire_size,capshrouds_wire_size,backstay_wire_size,mizzen_capshrouds_wire_size,intermediate_shrouds_wire_size,mizzen_intermediate_wire_size,forward_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,aft_lower_shrouds_wire_size,mizzen_forward_lower_shrouds_wire_size,inner_forestay_wire_size,runner_wire_size,mizzen_runner_wire_size,baby_stay_wire_size,triatic_stay_wire_size,jumper_wire_size,mizzen_jumper_wire_size,boom_above_deck,yacht_class
BOWMAN 48,,,CT,14680,12010,4320,1780,14392,5357,TSL; 1100. BSL;1500.,19202,,6400,,16992,,5029,,19200,,2400,,,,,,,,,,,206,,,,2,12,,12,,,12,12,,10,,12,,12,,10,10,,,,,,,BOWMAN
BOWMAN 48A,,,CT.AFT COC,14680,12010,4320,1780,14392,5357,TSL; 1100. BSL;1500.,,,SPL5475 J5,,16110,,5791,,17891,,2414,,,,,,,-,,R290,,200,,,JUMBO,,12,,12,,,12 TANGS,12,,10 TANGS,,10 TANGS,,10 TANGS,,10 SWAGED,,,,,,,,BOWMAN
BOWMAN 49 KT,,,KT,15000,,4270,,16783,,,17069,,5791,,14935,9601,4267,2972,16802,11440,23260,2180,,,,,,- 15 AFT,,,,162,111/60,111,,2 1,12   & 10,,12,,8,12,12,8,10,8,,,12,8,10,8,6,10,,,,,BOWMAN
BOWMAN 49 SL,,,SL,15000,,4270,,16783,,,19202,,6096,,16993   96,,4724    29,,19050  114,,,,MH,KL,,2    1MI,,MIZ 15AFT,,E274,,162,,111,,2,,,12,,,12   8MIZ,12,,10   8MIZ,,,,12   8MIZ,,10,8    6MIZ,,10,,,,,BOWMAN
BOYD 1/2 TONNER,,,SL,,,,,,,Top spreader length; 650. Bottom spreader length;750,9754,,3048,,11278,,4114,,12343,,1853,,FR,KL,,2,,,,E122,,128,,60,,1,,,6,,,6,,,5,,,,6,,,5,,CHECK STYS,,3,,,BOYD
BRABANT 32,,,SL,9751,,,,,,,,,,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,BRABANT
BRISA 40,,,SL,12250,,3620,,6350,2850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BRISA
BROWN TRI 40',,,CT,12192,,,,,,,,,,,,,,,15494,,,,MH,DK,,2,,,,7752,,4545,,,,,,,6,,,6,6,,6,,6,,6,,6,6,,6,,,,,BROWN
BUCCANEER,,,SL,,,,,,,,8800,,2230,,6852,,3003,,8013,,,,,,,,,,,4831,,3024,,,,,,,4,,,4,4,,,,4,,4,,,,,,,,,,BUCCANEER
BUCCANEER 28,,,SL,8531,,,,,,,,,,,,,,,10934,,,,MH,DK,,,,,,7250,,4040,,,,,,,6,,,,,,,,6,,6,,,,,,,,,,BUCCANEER
BUCCANEER 33,,,SL,10061,,,,,,,,,,,,,,,12116,,,,,,,,,,,7752,,4040,,,,,,,6,,,6,6,,,,6,,6,,,,,,,,,,BUCCANEER
BUCCANEER 40,,,CT,12191,,,,,,,16764,,5425,,15240,,5182,,16764,,,,MH,DK,,1,,,,10070,,5842,,,,,,,10,,,10,10,,,,10,,10,,9,,,,,,,,BUCCANEER
BUCHANON 1/2TON,,,SL,,,,,,,,11551,,3658,,9936,,4237,,11100,,1410,,MH,KL,,2,,9 AFT,,E155,,,,,,,,,6,,,7,6,,6,,,,7,,5,CHECK STAY,,,,,,,BUCHANON
BUCHANON 35,,,SL,10670,,,,,,,,,,,,,5300,,11890,,,,,,,,,,,,,162,,,,,8B x 15.4,,8,,,8,2x8,,,,8,,8,,,,,,,,,,BUCHANON
BUCHANON CRYST.,,,SL,,,,,,,,,,,,,,,,8318,,,,MH,DK,,1,,,,4831,,,,,,,,,5,,,4,5,,,,4,,4,,,,,,,,,,BUCHANON
BUCKLERS HARD 45,,,KT/CT,13711,,,,,,,,,5280,,13513,7976,4724,2438,15393,9577,,,,,,,1,,12.5FWD,,,162,111/54,99,,,10 x 20.4,,10,,,10,2x10,7,9,7,10,7,10,7,8,7,,,,,,,BUCKLERS HARD
BUOY RACER,,,SL,,,,,,,,8610,,2500,,10439,,3840,,11529,,1155,,,,,,,3 AFT,,,,,,,,,,,5,,,6,,,5,,,,6,,,4,,CHECK STAY,,,,,BUOY RACER
C&C 27,,,SL,8330,,2794,,2320,,,SAIL AREA,,3937 (T/R3,,,,2896,,9677 (T/R1,,,,MH,DK,,1,,,,E155,,111,,72,,1,6,,6,,,6,6,,,,,,6,,5,,,,,,,,C & C
C&C 34,,,SL,10210,,,,,,,13311,,4267,,11659,,3328,,13011,,,,MH,KL,,1,,,,E189T,,128,,85,,1,,,7,,,7 ROD,7,,,,,,7ROD,,6,,,,,,,,C & C
C-BIRD,,,CT/SL,,,,,,,,,,4343,,11734,,5182,,12954,,,,MH,DK,,1,,,,7752,,,,,,,,,8,,,6,2 x 6,,,,6,,6,,,,,,,,,,C-BIRD
C-DEUCE 45,,,CT/KT,13711,,,,,,,,,,,,,,,17272,12344,,,MH,DK,DK,1,,,,10070,7250,5050,4040,,,2,,,16,,,16,16,4 x 10,,,14,10,14,10,,14,,,,-,8,,C-DEUCE
C-FALCON,,,KT,,,,,,,,,,,,11989,9195,4572,3200,13716,11230,,,MH,DK,DK,2,1,,30Aft,E224T,E177,150,111,,,,,,10,7,7,10,10,7,,,,,10,7,8,,,,,7,,,C-FALCON
C-SHELL,,,KT,,,,,,,,,,,,,,,,12497,6908,,,MH,DK,,1,-,,,7752,4831,,,,,,,,6,,,6,2 x 6,4,-,,6,,6,4,,,,,,,,,C-SHELL
C.C. CHEN 41,,,CT (SAWAJI,11600,,,,,,,16200,,,,14400,,4600,,,,,,MH,DK,,2,,,,E206,,150,,96,,2,10,072-072-58,10,,,10,10,,8,,10,,10,,8,7,,,,,,,C.C. CHEN
C.C. CHEN 41 SPCL,,,CT (SPECIA,11600,,,,,,,16200,,4800,,14400,,4600,,15940,,,,MH,DK,,2,,,,R232,,150,,96,,2,10,,10,,,10,10 + 2 X 8,,8,,,,10,,,7,,8,,,,,C.C. CHEN
C.C. CHEN 32,,,SL,9652,,2896,,6666,,,,,4191,,,,4267,,10630,,,,MH,DK,,1,,,,E177,,128,,,84-60,1,7B X 13,,7/8,,,6,7/8,,,,6,,6,,,,,,,,,,C.C. CHEN
CALLIOPE 339,,,SL,10290,,3460,,9380,,,,,,,,,4110,,12190,,,,MH,DK,,1,,-,,E206,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,CALLIOPE
CALLISTO 1/2TON,,,SL,,,,,,,,10211,,3414,,11500,,4164,,12400,,1741,,FR,KL,,2,,,,E130,,,,,,,6,,6,,,6,,,5,,,,6,,4,5,,CHECKSTAYS,,,,,CALLISTO
CALLISTO 335MOD,,,SL,10211,,,,,,,,,,,,,,,,,,,MD,DK,,2,,,,E189,,128,,72,,,,,,,,,,,,,,,,,,,,,,,,,CALLISTO
CALLISTO 385 CT,,,CT/SL,11730,,3860,,12160,,Top spreader length; 1150. Bottom spreader length; 1450.,15650,,5029,,13716,,4877,,15650,,-,,MH,DK,,2,,-,,E224,,171,,99,,,10,,10,,,10,10,,8,,10,,10,,8,,,,,,,1514,CALLISTO
CALLISTO 385 SL,,,SL,11585,,,,,,,16,,5100,,13710,,4.72,,16,,-,,MH,DK,,2,,,,E224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALLISTO
CALLISTO 415,,,CT,12650,,3860,,14177,,,16460,,5330,,14530,,4880,,16160,,-,,MH,DK,,2,,-,,E237,,189,,99,,2,10,,10,,,10,2 x 8,,8,,10,,10,,8,6,,,,,,,CALLISTO
CALLISTO 435 CT,BILL DIXON,,CT,14000,,,,,,Top spreader length; 1100. Bottom spreader length; 1450.,,,5486,,15088,,5182,,17070,,,,MH,DK,,2,,,,E237,,189,,99,,2,10,,10,,,10,10,,8,,10,,10,,8,,,,,7,,,CALLISTO
CALLISTO 435 KT,BILL DIXON,,KT,14173,,4110,,15178,,,,,8763,,14880,12363,4572,2438,16640,10363,,,MH,DK,DK,2,,,,E237,E189 was E,162,111,,,,,,12,,,12,2 x 10,8,10,2 x 8 FWD,10,,10,8,10,10,,,6 (Runners,,,,CALLISTO
CALLISTO 45,,,CT,13716,11049,4110,,17500,,,16840,,5664,,14618,,5562,,16840,,-,,MH,DK,,2,,,,E237,,200,,99,-,30  096-05,12,-,12,,,,12,,10,,12,,12,,10,,,,,8,,,CALLISTO
CALLISTO 50,,,SL,15200,,,,,,,18800,,6240,,16900,,4750,,18400,,,,MH,KL,,2,,,,E274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CALLISTO
CALVA PORTO,,,SL,10600,,3750,,6200,,,13880,,3950,,12100,,3750,,13880,,,,MH,DK,,2,,,,"E189,  R2",,150,,84,,2,8,,8,,,8,2 x 7,,7,,8,,8,,,,,,,,,,CALVA PORTO
CAPRICE MKII,,,SL,,,,,,,,7170,,2060,,6410,,1830,,6350,,,,MH,DK,,1,,23AFT,,3425,,2621,,,,,,,,,,,,,,,,,,,,,,,,,,,CAPRICE
CAPRICE MKIV,,,SL,,,,,,,,,,,,,,,,,,,,MH,DK,,1,,23AFT,,3425,,2722,,,,,,,3,,,3,3,,,,,,3,,,,,,,,,,CAPRICE
CARAVELA 22,,,SL,6701,,,,,,,7470,,2895,,7220,,2180,,7925,,,,FR,DK,,1,,25AFT,,4530/T,,85,,54,,1,,,4,,,4,,,,,,,4,,,,,,,,,,CARAVELA
CARDINAL 46,,,SL,14021,,,,12222,,,16993,,5600,,15200,,5200,,16177,,2143,,MH,KL,,2,,,,E274,,206,,111,,2,12,,12,,,12,12,,10,,12,,12,,,,,,,,,,CARDINAL
CARIB 39,,,KT,11887,,3505,,5250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARIB
CARRERA 41,,,SL(BELLIUR,12501,,,,,,Top spreader length; 650. Middle spreader length; 950. Bottom spreader length; 1100,16150,,5000,,14170,,4560,,15720,,2060,,MH,KL,,3,,,,E206,,162,,96,,2,10 x 17.9,,8,,,,8,,,,,,,,8,,,,,,,,CARRERA
CARTER 30,,,SL,9073,,3073,1675,,,,11125,,,,,,,,,,,,MH,KL,,1,,,,B&R  391,,111,,,,1,,,7,,,,7,,,,7,,7,,,,,,,,,,CARTER
CARTER 33,,,SL,10061,,,,,,,11900,,3735,,10363,,2920,,11474,,1969,,MH,KL,,1,,,,6746,,3535,,72,,,,,,,,,,,6,,6,,,,,4,,,,,,,CARTER
CARTER 35,,,SL,16671,,,,,,,12625,,4267,,10744,,3962,,12109,,,,MH,DK,,2,,1.5 AFT,,E189,,128,,84,,1,,,7,,,7,2 x 7,,7,,7,,7,,,,,,,,,,CARTER
CARTER RAGTIME,,,SL  7/8TH,,,,,,,,13106,,4267,,9610,,2790,,14420,,1979,,FR,KL,,2,,,,E155,,128,,72,,1,7,,7,,,6,5,,5,,,,7,,5,7,,CHECKSTAY,,,,,CARTER
CATALAC 9METRE,,,SL,9000,,4200,760,4000,,Mast section was D146,10850,,3581,,9266,,4305,,10285,,,,MH,DK,,1,,,,E170,,111,,72,WHISK 48 (,,6,GENOA 48 (,6,,,6,2x5,,,,,,6,,6,,,,,,,,CATALAC
CATALAC 10METRE,,,SL,10300,,4700,,5600,,,12195,,4000,,10500,,4483 was 4,,12192?1312,,,,MH,DK,,1,,,,E189,,150,,84,,2,8,,8,,,8,2x8,,,,,,8,,8,,,,,,,,CATALAC
CATALAC 12METRE,,,SL,12500,,5400,,7500,,Spreader length; 1400,,,,,,,5537,,12192,,,,MH,DK,,1,,,,E224,,162,,,WHISK 72,2,10x17.9,,10,,,10,2x10,,,,,,10,,8,,,,,,,,CATALAC
CATALAC 8METRE,,,SL,8230,,4110,,3000,,Mast was D146.  Spreader length; 900,,,3581 or 41,,,,3841,,10285,,,,MH,DK,,1,,,,E170,,111,,72,WHISK 48 (,,6,GENOA 48 (,6,,,6,2x5,,,,,,6,,6,,,,,,,,CATALAC
CATALINA 26,,,SL,7980,7292,9'10',1040,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATALINA
CATANA 39,,,CATAMARAN,11900,,6000,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATANA
CATANA 42,,,CAT. FRAC,13100,,7000,,5500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CATANA
CATCH 22,,,SL  VIKING,6701,,,,,,,8160,,2743,,6920,,2140,,7925,,,,MH,DK,,1,,,,E122,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,CATCH
CATFISHER 28,,,KT,8531,,,,,,,9680,,3658,,8340,,2970,,8864,7213,,,MH,DK,DK,1,1,,24 Aft,5842,4530,111,85,72,,,7,,7,,,7 5,2 x 7   -,5,-5,5,,,7 5,,6    -,,,,,,,,CATFISHER
CATFISHER 32,,,SL,9760,,3970,,4826,,,,,3200,,,,,,9644,,,,MH,DK,,1,,,,E170,,111,,72,72/61,1,7 x 13,,7,,,7,2 x 7,,,,,,7,,7,,,,,,,,CATFISHER
CELESTIAL 48,,,CT,14630,,,,2244,,,17703,,6032,,15692,,5182,,20592,,2288,,MH,KL,,2,,,,E237,,189,,111,,2,10 x 20.4,,10,,,10,10,,8,,10,,10,,8,7,,,,,,,CELESTIAL
WESTERLY CENTAUR,Laurent Giles,WESTERLY,SL,7920,6505,2560,915,2977,,sl; 950,9860,,3048,,8540,,3500,,9503,,-,,MH,DK,,1,,,,E138,,111,,60,60/48,1,5mm 100S,,5,,,5,5,,,,,,5,,5,,,,,,,,WESTERLY
CENTURA 35,,,SL,10360,,,,8000,,,12600,,4100,,10800,,3900,,12200,,,,MH,DK,,2,,,,"E177,R213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTURA
CENTURION 36,,Wauquiez,SL,10890,,3760,,7300,,Top spreader length; 750. Bottom spreader length; 1050.,14270,,4400,,12250,,3900,,13970,,2130,,MH,KL,,2,,,,E214,,128,,96,,1,10 x 17.9,,10,,,10,10,,8,,,,10,,7,5,,,,,,1350,CENTURION
CENTURION 38,,Wauquiez,SL,11450,,3820,,8950,,Top spreader length; 850. Bottom spreader length; 1150.  FURLIN DATA AVAILABLE IN DRAW.,16000,,4633,,14173,,4968,,15750,,2350,,MH,KL,,2,,,,E206,,162,,96,,2,10 x 17.9,72/58,10,,,10 (9),10,,8,,,,10,,8,6,,,,,,,CENTURION
CENTURION 40,,Wauquiez,SL,12070,,4090,,95OO,,Top spreader length; 900. Bottom spreader length; 1300. Furlin MK2 data available in draw.,16703,,5151,,14630,,4663,,16430,,2220,,MH,KL,,2,,,,E224,,162,,99,,2,10 x 17.9,72/58,10,,,10,10,,8,,,,10,,8,6,,,,,,,CENTURION
CENTURION 42 CRU,,Wauquiez,SL,12860,,4060,,11000,,Top spreader length; 900. Bottom spreader length; 1300. REEFING & FURLIN DATA IN DRAW.,17350,,5280,,15200,,4700,,17080,,2535,,MH,KL,,2,,,,E224,,162,,110,,2,10 x 20.4,84/58,10,,,10,10,,8,,,,10,,8,6,,,,,,,CENTURION
CENTURION 47CRU,,Wauquiez,SL,14430,,4470,,14000,,Furlin mast data available in draw. Top spreader length; 950. Bottom spreader length; 1300,17600,,6020,,15570,,4850 (?533,,17400,,2405,,MH,KL,,2,,,,E237,,189,,111,,2,12D x 20.4,84/58,12,,,12,12,,10,,,,12,,10,5,,,,,,,CENTURION
CENTURION 47RAC,,Wauquiez,SL TRIPLE,14430,,4470,,14000,,Top spreader length; 800. Middle spreader length; 1100. Bottom spreader length; 1300.,,,6020,,17370,,5330,,19000,,2405,,MH,KL,,3,,,,E237,,206,,111,,,12 x 20.4,84/58,12,,,12,12,,"10 UP.,10 ",,,,12,,10,"6 UP., 6 L",,,,,,,CENTURION
CENTURION 57,,Wauquiez,SL,17381,,,,23100,,,22860,,6949,,20879,,6706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CENTURION
CHACON 36,,,SL,10971,,,,,,,,,4720,,,,,,13462,,2013,,MH,KL,,1,,,,E189T,,111,,,,,,72,8,,,8,8,,,,8,,6,,,,,,,,,,CHACON
CHALLENGER 3/4,,,SL,,,,,,,,,,2667,,9220,,,,,,,,FR,DK,,1,,14 AFT,,5036,,2722,,,,,,,,,,,,,,,,,,,,,,,,,,,CHALLENGER
CHALLENGER 31,,,SL,9451,,,,,,,10973,,3962,,9449,,3658,,,,,,,,,,,,,E170,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,CHALLENGER
CHALLENGER 35,,,SL,10700,,3200,,5600,,,11978,,4450,,10082,,3810,,11657,,-,,MH,DK,,1,,-,,E177,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,CHALLENGER
CHANCE 24 Spcl,,,SL,,,,,,,,,,2724,,,,,,9144,,,,FR,DK,,1,,,,5036,,2722,,60,,,,,4,,,4,3,,,,4,,4,,,,,,,,,,CHANCE
CHANCE 33,,,SL,10061,,,,,,,,,4293,,,,,,13442,,,,MH,KL,,1,,,,E177,,128,,84,,1,,60,7,,,6,6,,,,,,,,,5,,4,,,,,CHANCE
CHANCE 33 DSR,,,SL,10061,,,,,,,,,,,,,,,,,,,MH,KL,,2,,,,E177,,128,,84,,,,,,,,,,,,,,,,,,,,,,,,,CHANCE
CHANCE 39,,,SL,11960,,3430,,8480,,,15500,,4840,,13660,,4150,,15210,,1981,,MH,KL,,2,,-,,E206 E189,,162,,96,,2,404-027-52,,9 9,,,10 9,9 9,,8 7,,,,10 9,,8 7,6 6,,,,,,,CHANCE
CHANNEL 32,,,SL,9850,8290,3090,1280,4200,,,10800,,3500,,10970,,3960,,12200,,-,,FR,DK,,1,,25 AFT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHANNEL
CHAU SON 38,,,SL,11591,,,,,,Spreader length; 1200,,,,,,,4420,,14478,,,,MH,DK,,1,,,,E206,,128,,,,1,8C x 15.5,,8,,,8,8,,7,,8,,8,,,,,,,,,1372,CHAU SON
CHEOY LEE 35,,,SL,10671,,,,,,,14130,,4390,,12314,,3536,,13644,,,,MH,DK,,1,,,,E206,,128,,84,,,,,7/8,,,7/8,7/8,,7/8,,7/8,,7/8,,,,,,,,,,CHEOY LEE
CHEOY LEE 36,,,CT,10971,,,,,,,,,,,,,,,,,,,,,,,,,,7752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEOY LEE
CHEOY LEE 43,,,CT,13030,,4010,,15420,,,15344,,5739,,13222,,4648,,14935?,,-,,MH,DK,,1,,,,E274,,189,,,,2,12,,12,,,12,12,,,,12,,12,,10,12 STAND.,,,,,,,CHEOY LEE
CHEOY LEE 52,,,KT,15851,,,,,,,,,,,,,,,17297,13716,,,MH,DK,,2 1,,,,E274,206,189,128,,,,,,10,-,8,10,10,8,10,-,10,8,10,8,,,,,8,,,,CHEOY LEE
CHEOY LEE 53 MS,,,CT,16310,,5080,,28571,,,18999,,5994,,16764,,6908,,18999,,,,MH,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEOY LEE
CHEOY LEE 53 MS KT,,,KT,16310,,5080,,28571,,,20523,,5587,,18897,11684,5384,3657,20523,15443,,,MH,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHEOY LEE
CHEOY LEE MID 40,,,KT,12191,,,,,,,,,,,,,,,9296,,,,MH,DK,DK,1,,,20 Aft,5842,5842,3535,,,,,,,,,,7,,,,,,,7,,7,,,,,,,,CHEOY LEE
CHEOY LEE OFF 31,,,KT,9451,,,,,,,,,,,,,,,9449,7163,,,MH,DK,DK,1,1,,,5842,4027,4040,3024,,,,,,,,,,,,,,,,,,,,,,,,,,CHEOY LEE
CHEOY LEE OFF 40,,,SL,12191,,,,,,,,,4663,,12573,,4871,,13794,,1438,,MH,DK,,1,,,,E224,,150,,96,,2,,72,2 x 10,,,10,2 x 10,,,,10,,10,,,,,,,,,,CHEOY LEE
CHEOY LEE OFF 47,,,KT,14321,,,,,,,,3535,,,9144MIZ,9144,,,17272,11430,2616   -,,MH,KL,DK,2,1,,,10070T,,7250,,,,,,7' TUBE LE,10,,2 x 6,10,2 x 10,7,9,,,,10,7,,5,,6,6,5,,,CHEOY LEE
CHRISTINA 43,,,SL,13100,,4050,2080,13000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHRISTINA
CICION 110,,,KT,,,,,,,,12900,,3950,,11100,7800,3400,2300,12500,8957,,,MH,DK,DK,1,1,,27 aft,E206,15/104,128,85/58,84,,,,,8,,,8,8,6,-,6,8,5,8,6,,,,,,4,,,CICION
CINDER CLASS,,,SL,,,,,,,,,,2286,,7263,,2996,,8331,,,,MH,DK,,1,,,,5232,,3024,,,,,,,4,,,4,4,,,,,,4,,,,,,,,,,CINDER CLASS
CIRRUS 34,,,SL,10361,,,,,,,13150,,4300,,11700,,3148,,,,,,,,,,,,,E177,,128,,,,1,,,,,,,,,,,,,,,,,,,,,,,CIRRUS
CLASSIC 45,,,CT,13700,,,,,,,15100,,5800,,13100,,4300,,15100,,,,MH,KL,,2,,,,E224,,189,,99,,2,12,,12,,,12,12 + 2 x 1,,10,,12,,12,,10,8,,,,,,,CLASSIC
CLAYMORE SL,,,SL,,,,,,,,,,3352,,,,,,9144,,,,MH,DK,,1,,,,7250,,4040,,,,,,,6,,,6,6,,,,6,,6,,,,,,,,,,CLAYMORE
CLAYMORE KT,,,KT,,,,,,,,10600,,3048,,8534  4877,,3970,,10058,6134,,,MH,DK,,1,1,MIZ 19.5AF,19.5 Aft,4530,,3024,,,,,,,6,4,3,6,2x5,4,,,6,4,6,,,,,,,,,,CLAYMORE
CLEEVER 42,,,KT,12800,,,,17000,,,,,5500,,13500,8670,5500,3000,15500,10700,,,MH,DK,DK,1,1,,FWD,E237,E170,162,128,,,2,10,,10,,,10 7,10 + 2 x 1,,,,10 7,,10 7,,8,7 6,,,,,,,CLEEVER
CLIPPER 32,,,SL,9751,,,,,,,13100,,4700,,11200,,4150,,10692,,,,MH,DK,,1,,,,E189,,128,,84,,1,,,7,,,7,7,,,,7,,7,,,,,,,,,,CLIPPER
COBRA 1050,,,SL,,,,,,,,13120,,4013,,11590,,3660,,12557,,,,MH,DK,,1,,,,E189,,111,,84,,1,,,7/8,,,7/8,7/8,,,,7/8,,7/8,,,,,,,,,,COBRA
COBRA 750,,,SL,7620,,2896,,2500,,,,,3125,,8306,,2591 or 31,,9211 or 92,,,,MH,DK,,1,,-,,E130,,85 or 111,,48,,1,5,,5,,,5,5,,,,5,,5,,,,,,,,,,COBRA
COBRA 850,,,SL,8690,,2900,1375 / 1100,3500,,,10520,,3660 (3353,,9450,,2510,,10517,,,,MH,DK,,1,,,,E155,,85,,72,,1,6,,6,,,6,6,,,,6,,6,,,,,,,,,,COBRA
COBRA 900,,,SL,,,,,,,,,,,,,,,,,,,,,,,,,,,E170,,111,,,,,,,,,,,,,,,,,,,,,,,,,,,COBRA
COLIN ARCHER 40,,,CT/KT,12191,,,,,,,15000,,6300,,13500,,4648,,13260,,2775,,MH   MH,KL,,1,,,,E239,,,,,,1,10,,10,,,10,10,,,,10,,10,,8,8,,,8,,,,COLIN ARCHER
COLIN ARCHER 44,,,KT,13500,,3900,,17500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLIN ARCHER
COLOMBIA 40,,,SL,11940,,3251,,9975,,,,,,,,,,,12497,,1676,,MH,KL,,1,,,,E206,,200,,,,,10,,10,,,10,10,,,,10,,10,,,,,,,,,,COLOMBIA
COLUMBIA 41,,,KT,12501,,,,,,,,,,,,,,,12115   76,,2692   -,,MH   MH,KL   DK,,1 1,,MIZ 20AFT,,8760,,4040,,,,,,,,,,,,,,,,,,,,,,,,,,,COLUMBIA
COLUMBIA 45,,,KT  STANDA,13711,,,,,,,13716,,5456,,11074,,4876,,13512  967,,2388   -,,MH   MH,KL   DK,,1 1,,MIZ 15AFT,,10070,,5050,,,,,,,,,,,,,,,,,,,,,,,,,,,COLUMBIA
COLVIC 23 SAIL,,,SL,7000,,2600,,2117,,,8647,,2660,,,,,,,,,,MH,DK,,1,,,,E155,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,COLVIC
COLVIC 24 S/TIDE,,,SL,,,,,,,,,,,,,,,,,,,,MH,DK,,1,,,,5036,,3024,,,,,,,,,,,,,,,,,,,,,,,,,,,COLVIC
COLVIC 25 M/S,,,SL,7621,,,,,,,,,,,,,,,,,,,MH,DK,,1,,,,5535,,3535,,,,,,,,,,,,,,,,,,,,,,,,,,,COLVIC
COLVIC 25'6' MS KT,,,KT,7920,,2740,,,,,,,,,,,,,8230  6553,,,,MH   MH,DK   DK,,1    -,,,,E138,,85,,,,,,,,,,,,,,,4,,4,,,,,,,,,,COLVIC
COLVIC 25'6' MS,,,SL MKII,7920,,2740,,,,Spreader length; 800,,,,,,,3352,,8093,,,,MH,DK,,1,,,,E130,,111,,,,1,6,,5,,,5,5,,,,5,,5,,,,,,,,,,COLVIC
COLVIC 26 SAIL,,,SL MKII,7920,,2740,1070T,2666,,,9754,,3200,,8687,,2743,,9642,,-,,MH,DK,,1,,,,E155,,85,,72,60-58,1,6 x 10.6,,6,,,6,6,,,,5,,5,,,,,,,,,,COLVIC
COLVIC 27 SAIL,,,SL,8100,,2920,,2489,,,9750,,3400,,,,,,,,,,MH,DK,,1,,,,E155,,85,,60,72-60,,,,,,,,,,,,,,,,,,,,,,,,COLVIC
COLVIC 31' M.S.,,,KT,9450,,3040,1220,7000,,,10900  572,,3230,,9448,,3660   212,,10054  598,,,,MH   MH,DK   DK,,1 1,,6A  25A,,E170,,111,,,,1,6,,6 4,,,6 5,2x5  -,,,,5    -,,5 5,,,,,,,5    -,,,COLVIC
COLVIC LIBERATOR 35,,,SL,10700,,3430,,4570,,,,,4328,,,,,,,,,,MH,KL,,,,,,E189,,128,,84,,,,60,,,,,,,,,,,,,,,,,,,,,COLVIC
COLVIC COUNTESS 33,,,SL TALL RI,10050,,3550,,6550,,,11670,,4115,,10060,,3353,,13000,,,,MH,DK,,1,,,,E189,,128,,84,84-60,1,8 x 17.9,,8,,,7,2 x 8,,,,7,,7,,,,,,,,,,COLVIC
COLVIC  COUNTESS33,,,SL SHORT R,10050,,3550,,6550,,,,,4115,,,,3353,,12202,,-,,MH,DK,,1,,-,,E189,,128,,84,84-60,1,8,-,8,,,7,2 x 8,,,,7,,7,,,,,,,,,,COLVIC
COLVIC COUNTESS 33,,,KT WHEELHO,10050,,3550,1590,6550,,MAIN MAST. Spreader length; 1000,11670,,3581,,10058,,3048,1587,11382,7214,,,MH,DK,DK,1,1,,30 AFT,E177,E138,111,85/58,72,84-60,1,7,,7,2x5,-,7 6,2x7,6,7,,7,5,7,6,,,,,,,,,COLVIC
COLVIC COUNTESS 35,,,SL,10671,,,,,,,,,3960,,,,4060,,13000,,,,MH,DK,,1,,,,E189,,128,,,,1,8B x51.4,,8,,,8,8 + 2 x 7,,,,8,,8,,,,,,,,,,COLVIC
